Geo_GEOID,SE_T004_001,SE_T017_001
14000US01089010621,7431,2565
14000US01089010622,10544,4860
14000US01089010623,6544,2265
14000US01089010624,8179,3044
14000US01089010701,8505,3217
14000US01089010702,8481,3052
14000US01089010800,10309,3773
14000US01089010901,14670,5329
14000US01089010902,3006,1183
14000US01089011011,9680,3207
14000US01089011012,5950,2272
14000US01089011013,5095,1938
14000US01089011014,8701,3199
14000US01089011021,5121,2331
14000US01089011022,7580,3326
14000US01089011100,1592,317
14000US01089011200,10840,4794
14000US01089011300,6462,2401
14000US01089011400,4147,1613
14000US01091972900,4622,2068
14000US01091973000,4554,1875
14000US01091973100,1750,722
14000US01091973200,2426,955
14000US01091973300,2248,795
14000US01091973400,4466,1734
14000US01093964000,4363,1928
14000US01093964100,2574,1060
14000US01093964200,1518,646
14000US01093964300,4807,1853
14000US01093964400,5632,2230
14000US01093964500,2400,1006
14000US01093964600,3311,1410
14000US01093964700,5634,2353
14000US01095030100,2766,1028
14000US01095030201,5206,2045
14000US01095030202,4817,1934
14000US01095030300,6698,2489
14000US01095030401,4570,1797
14000US01095030402,3414,1287
14000US01095030500,7108,2816
14000US01095030600,6600,2524
14000US01095030701,3345,1376
14000US01095030702,3791,1506
14000US01095030801,5359,1818
14000US01095030802,7869,2571
14000US01095030902,4433,1606
14000US01095030903,6167,2180
14000US01095030904,5517,1937
14000US01095031000,5580,1805
14000US01095031100,5496,1834
14000US01095031200,5798,1908
14000US01097000200,1238,669
14000US01097000401,1297,517
14000US01097000402,796,382
14000US01097000500,1982,703
14000US01097000600,1981,781
14000US01097000701,2232,685
14000US01097000702,2427,918
14000US01097000800,4703,1679
14000US01097000901,1795,753
14000US01097000902,1888,962
14000US01097000903,1519,617
14000US01097001001,1652,726
14000US01097001002,1771,811
14000US01097001100,1864,893
14000US01097001200,6820,414
14000US01097001302,2940,994
14000US01097001400,1843,816
14000US01097001501,1458,638
14000US01097001502,1359,536
14000US01097001800,2325,863
14000US01097001901,2419,781
14000US01097001902,3250,1243
14000US01097002000,1700,619
14000US01097002100,3889,1230
14000US01097002200,2745,863
14000US01097002301,1932,723
14000US01097002302,2025,673
14000US01097002400,3035,1195
14000US01097002501,3349,1574
14000US01097002502,2216,1063
14000US01097002600,2417,1073
14000US01097002700,2575,962
14000US01097002800,4857,2018
14000US01097002900,3873,1560
14000US01097003000,3263,1401
14000US01097003100,4550,1726
14000US01097003202,2493,1115
14000US01097003203,3429,1486
14000US01097003204,4495,2121
14000US01097003205,2500,1016
14000US01097003301,2672,1254
14000US01097003302,4008,1589
14000US01097003402,4314,1428
14000US01097003404,2687,885
14000US01097003405,1868,719
14000US01097003406,2835,1187
14000US01097003407,7322,2699
14000US01097003408,3570,1400
14000US01097003501,3788,1501
14000US01097003502,2522,1069
14000US01097003602,1392,530
14000US01097003605,653,0
14000US01097003606,3588,1569
14000US01097003607,3949,1632
14000US01097003608,1462,547
14000US01097003703,3668,1672
14000US01097003704,4240,1950
14000US01097003705,3650,1805
14000US01097003706,3004,1419
14000US01097003707,5247,2290
14000US01097003708,4453,1757
14000US01097003709,6860,2732
14000US01097003710,4104,1664
14000US01097003800,1274,530
14000US01097003901,2023,771
14000US01097003902,943,371
14000US01097004000,2380,830
14000US01097004100,972,378
14000US01097004800,1100,442
14000US01097004900,3541,1202
14000US01097005000,1776,572
14000US01097005100,1548,485
14000US01097005200,1550,550
14000US01097005300,1872,777
14000US01097005400,4400,1704
14000US01097005500,2609,1030
14000US01097005600,7222,2545
14000US01097005700,7057,2513
14000US01097005800,3948,1495
14000US01097005900,4652,1540
14000US01097006000,5060,1746
14000US01097006102,2276,928
14000US01097006103,5700,1703
14000US01097006104,4878,1680
14000US01097006105,7538,2376
14000US01097006200,4536,1661
14000US01097006301,10611,3669
14000US01097006302,7021,2383
14000US01097006402,4192,1486
14000US01097006403,1962,714
14000US01097006404,11975,4017
14000US01097006405,8071,3198
14000US01097006406,8456,2882
14000US01097006407,5799,2049
14000US01097006501,5314,1811
14000US01097006502,12185,4063
14000US01097006600,5817,1898
14000US01097006701,5952,2305
14000US01097006702,3637,1294
14000US01097006801,9217,3204
14000US01097006802,3382,1089
14000US01097006901,7717,2849
14000US01097006902,4259,1512
14000US01097007000,4503,1885
14000US01097007101,4456,1647
14000US01097007102,3204,1192
14000US01097007103,3487,1449
14000US01097007201,2585,960
14000US01097007202,2471,1027
14000US01097007300,4169,1407
14000US01097007400,3414,1462
14000US01097007500,1450,539
14000US01097007600,1974,806
